epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4745,0.42076,3.14837,0.38617,0.9481,0.94176,0.95525,0.80193,0.23285,0.36398,0.23256,0.000474826,0.000474826,0.000474826
2,175.986,0.30915,0.44796,0.27424,0.94376,0.97186,0.95257,0.79638,0.24871,0.3307,0.27617,0.000932326,0.000932326,0.000932326
3,262.301,0.30334,0.43613,0.27131,0.91285,0.96252,0.95102,0.81539,0.2247,0.34285,0.25897,0.00137096,0.00137096,0.00137096
4,348.267,0.29839,0.43176,0.25958,0.92811,0.9347,0.9365,0.76968,nan,nan,nan,0.00134412,0.00134412,0.00134412
5,432.956,0.3211,0.5027,0.29013,0.87953,0.92224,0.91504,0.76096,0.24904,0.42058,0.30653,0.00131582,0.00131582,0.00131582
6,516.709,0.28527,0.42843,0.25403,0.93245,0.97058,0.95449,0.81998,0.2283,0.32287,0.25905,0.00128753,0.00128753,0.00128753
7,600.479,0.26712,0.40341,0.23757,0.92695,0.95855,0.94968,0.82549,0.21929,0.28595,0.22117,0.00125923,0.00125923,0.00125923
8,681.523,0.25314,0.3787,0.22246,0.9442,0.97033,0.955,0.84629,0.19718,0.27788,0.21132,0.00123094,0.00123094,0.00123094
9,765.325,0.23911,0.3821,0.21105,0.94866,0.96274,0.95223,0.84259,0.1989,0.26418,0.20431,0.00120265,0.00120265,0.00120265
10,849.064,0.24063,0.37205,0.21225,0.95373,0.96501,0.95752,0.83712,0.20681,0.30083,0.21901,0.00117435,0.00117435,0.00117435
11,932.877,0.23047,0.35321,0.2012,0.92969,0.97033,0.95193,0.82621,0.21028,0.30582,0.22633,0.00114606,0.00114606,0.00114606
12,1016.65,0.22728,0.35978,0.19645,0.93545,0.96687,0.95423,0.84825,0.19004,0.27808,0.22316,0.00111776,0.00111776,0.00111776
13,1100.67,0.21396,0.32763,0.19125,0.93595,0.80146,0.79668,0.70097,nan,nan,nan,0.00108947,0.00108947,0.00108947
14,1184.49,0.21529,0.33134,0.18515,0.97167,0.94838,0.96173,0.8567,0.19919,0.29436,0.21714,0.00106118,0.00106118,0.00106118
15,1268.74,0.20907,0.32965,0.18325,0.96997,0.97216,0.96094,0.8673,0.17292,0.27481,0.19015,0.00103288,0.00103288,0.00103288
16,1347.6,0.20978,0.32978,0.1805,0.96781,0.96849,0.96178,0.8808,0.17219,0.2306,0.17579,0.00100459,0.00100459,0.00100459
17,1425.86,0.19988,0.3204,0.17306,0.95853,0.96781,0.96627,0.87742,0.16743,0.24051,0.16942,0.000976293,0.000976293,0.000976293
18,1506.18,0.19419,0.30667,0.16475,0.97913,0.97337,0.96658,0.87655,0.17236,0.23427,0.17313,0.000947999,0.000947999,0.000947999
19,1590.94,0.18538,0.29683,0.16382,0.98272,0.97337,0.96672,0.89152,0.15593,0.20868,0.16083,0.000919704,0.000919704,0.000919704
20,1675.2,0.19252,0.30278,0.16583,0.95052,0.97337,0.95814,0.8834,0.15604,0.23765,0.16348,0.00089141,0.00089141,0.00089141
21,1753.94,0.18464,0.30206,0.16245,0.9583,0.97356,0.96449,0.87874,0.17554,0.22911,0.18884,0.000863116,0.000863116,0.000863116
22,1831.97,0.18077,0.29334,0.15652,0.97407,0.9764,0.96772,0.88756,0.15642,0.22901,0.17326,0.000834822,0.000834822,0.000834822
23,1909.96,0.18562,0.29586,0.15774,0.97362,0.97337,0.96901,0.89885,0.15692,0.21914,0.16903,0.000806528,0.000806528,0.000806528
24,1988.15,0.17295,0.28788,0.14791,0.97976,0.97289,0.97045,0.89633,0.1577,0.22454,0.16434,0.000778233,0.000778233,0.000778233
25,2066.12,0.17025,0.27498,0.14418,0.97308,0.969,0.96567,0.89487,0.15298,0.21911,0.16547,0.000749939,0.000749939,0.000749939
26,2143.97,0.16973,0.27476,0.14354,0.97639,0.9764,0.97122,0.89883,0.15267,0.23546,0.15883,0.000721645,0.000721645,0.000721645
27,2222.01,0.17113,0.2763,0.14681,0.98342,0.97571,0.96983,0.89578,0.15738,0.21527,0.16614,0.000693351,0.000693351,0.000693351
28,2300.13,0.16023,0.26188,0.13735,0.97285,0.97033,0.96406,0.89132,0.16346,0.22375,0.18118,0.000665057,0.000665057,0.000665057
29,2378.2,0.16435,0.2679,0.13922,0.9644,0.9764,0.96195,0.88996,0.15402,0.22438,0.16113,0.000636762,0.000636762,0.000636762
30,2456.17,0.16169,0.26553,0.13387,0.98161,0.9764,0.97043,0.89355,0.1574,0.21169,0.16546,0.000608468,0.000608468,0.000608468
31,2534,0.15541,0.25682,0.13339,0.98314,0.97618,0.97271,0.906,0.14958,0.20554,0.15014,0.000580174,0.000580174,0.000580174
